,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
12346,tt1757705,India,,,,,
12347,tt1757723,Germany,,,,,
12348,tt1757790,Spain,,,,,
12349,tt1757880,Sweden,,,,,45 min
12350,tt1757885,Spain,"EUR150,000",,,,
12351,tt1757923,Finland,"EUR10,000",,,,
12352,tt1758795,USA,"$1,500,000","$1,579,402,","$3,491,669","$3,909,596",104 min
12353,tt1760956,France,,"$2,040,","$6,123","$6,123",80 min
12354,tt1761008,USA,,,,,
12355,tt1762404,USA,,,,,30 min
12356,tt1764149,USA,"$2,500",,,,
12357,tt1764283,France,,,,,45 min
12358,tt1764355,Canada,,,,,98 min
12359,tt1765782,UK,,,,,121 min
12360,tt1767382,USA,"$2,000,000","$6,661,234,","$12,754,783","$16,527,747",86 min
12361,tt1768706,USA,,,,,62 min
12362,tt1770670,USA,,,,,98 min
12363,tt1772292,USA,,,,,91 min
12364,tt1772364,USA,,,,,65 min
12365,tt1772980,Russia,,,,"$73,153",158 min
12366,tt1773011,Bulgaria,,,,,54 min
12367,tt1773029,Canada,,,,,77 min
12368,tt1773499,Italy,"EUR1,500",,,,85 min
12369,tt1773522,UK,"GBP100,000",,,,
12370,tt1773793,USA,"$10,000",,,,
12371,tt1774321,USA,"$275,000",,,,104 min
12372,tt1774561,Indonesia,,,,,100 min
12373,tt1774581,Belgium,,,,,73 min
12374,tt1774620,Switzerland,"$80,000",,,,80 min
12375,tt1776065,India,,,,,105 min
12376,tt1776084,USA,"$37,000",,,,
12377,tt1776086,USA,,"$4,846,","$108,118","$108,118",101 min
12378,tt1776092,USA,,,,,80 min
12379,tt1776130,USA,"$10,000",,,,80 min
12380,tt1776325,USA,,,,,
12381,tt1777012,Spain,,,,,70 min
12382,tt1777580,USA,,,,,
12383,tt1777612,UK,"GBP900,000",,,"$82,225",93 min
12384,tt1777639,Mexico,,,,,70 min
12385,tt1778906,USA,"$300,000",,,,103 min
12386,tt1924305,Japan,,,,,
12387,tt1926214,USA,,,,,143 min
12388,tt1926313,India,,,,,149 min
12389,tt1928337,USA,"$1,500,000",,,,92 min
12390,tt1929404,Switzerland,"$900,000",,,,90 min
12391,tt1930506,USA,"$50,000",,,,61 min
12392,tt1931513,India,,,,,
12393,tt1932597,Germany,,,,,
12394,tt1932688,Malaysia,,,,,90 min
12395,tt1935094,South Korea,"$3,100,000",,,,106 min
12396,tt1935221,Luxembourg,"EUR3,800,000",,,"$48,556",93 min
12397,tt1937112,USA,"$24,000",,,,97 min
12398,tt1937136,Germany,"EUR50,000",,,,
12399,tt1939656,USA,"$1,000,000",,,,141 min
12400,tt1941657,India,"INR50,000,000",,,,132 min
12401,tt1941704,Portugal,,,,,84 min
12402,tt1942905,India,,,,,105 min
12403,tt1943763,Belgium,,,,"$40,390",88 min
12404,tt1943803,USA,,,,,
12405,tt1945057,USA,,,,,92 min
12406,tt1945112,Canada,,,,,119 min
12407,tt1945204,Canada,,,,,
12408,tt1946205,Ireland,"EUR2,419,437",,,,88 min
12409,tt1946271,Australia,"AUD150,000",,,,
12410,tt1948521,UK,"GBP15,000",,,,81 min
12411,tt1950168,USA,,,,,17 min
12412,tt1950270,Portugal,,,,,98 min
12413,tt1951076,Germany,,,,"$841,747",87 min
12414,tt1951216,UK,,"$5,105,","$21,252","$1,318,468",101 min
12415,tt1954363,UK,"GBP800,000",,,,
12416,tt1954381,India,,,,,147 min
12417,tt1954394,USA,,,,,82 min
12418,tt1954509,USA,"$5,000",,,,
