,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
4967,tt1871239,USA,"$850,000",,,,
4968,tt1872082,USA,,,,,85 min
4969,tt1872083,USA,"$206,000",,,,91 min
4970,tt1872203,Netherlands,,,,,15 min
4971,tt1872871,UK,,,,,66 min
4972,tt1873590,Russia,,,,"$179,424",90 min
4973,tt1876277,Norway,,"$90,",$704,"$712,216",104 min
4974,tt1876466,USA,,,,,94 min
4975,tt1878870,USA,"$9,000,000","$4,754,215,","$14,431,633","$19,370,020",104 min
4976,tt1879012,USA,,,,,
4977,tt1882041,Brazil,,,,"$2,759,870",
4978,tt1883160,Germany,,,,,
4979,tt1884259,USA,,,,,
4980,tt1885281,Germany,,,,"$580,487",118 min
4981,tt1887666,USA,,,,,82 min
4982,tt1887676,USA,"$150,000",,,,94 min
4983,tt1887746,USA,,,,,
4984,tt1887795,Spain,"$12,000",,,,60 min
4985,tt1888618,Japan,"$25,000",,,,
4986,tt1891894,Belgium,"EUR2,500,000",,,"$2,979",90 min
4987,tt1891901,Maldives,"MVR450,000",,,,
4988,tt1893387,Japan,,,,,
4989,tt1895368,USA,,,,,90 min
4990,tt1895530,USA,,,,,
4991,tt1895560,Germany,"EUR300,000",,,,
4992,tt1896785,USA,,,,,
4993,tt1906446,France,,,,"$280,477",105 min
4994,tt1907719,USA,"$75,000",,,,
4995,tt1907737,USA,,,,,15 min
4996,tt1908551,USA,,,,,85 min
4997,tt1910498,UK,"$870,000",,,,
4998,tt1910522,USA,"$1,000",,,,
4999,tt1910548,Israel,,,,,
5000,tt1911589,Spain,"EUR55,000",,,,
5001,tt1911615,Iran,,,,,92 min
5002,tt1913003,Singapore,,,,,87 min
5003,tt1916708,Japan,,,,"$27,707,149",118 min
5004,tt1916758,USA,"$75,000",,,,
5005,tt1916763,USA,,,,,81 min
5006,tt1921064,Canada,"$100,000,000","$10,340,823,","$23,219,748","$117,831,631",105 min
5007,tt1922655,USA,,,,,
5008,tt1924336,Germany,"EUR5,000,000",,,"$716,783",105 min
5009,tt1924346,USA,"$10,000",,,,
5010,tt1927006,Poland,,,,,102 min
5011,tt1928196,Poland,"PLN3,500,000",,,"$1,720,882",90 min
5012,tt1928238,USA,,,,,119 min
5013,tt1928335,USA,"$3,200,000",,,,86 min
5014,tt1929237,India,"$2,000,000",,,,75 min
5015,tt1929344,USA,,,,,98 min
5016,tt1929407,USA,"$25,000",,,,81 min
5017,tt1930428,Argentina,,,,,78 min
5018,tt1931378,South Africa,,,,,90 min
5019,tt1931580,Philippines,"PHP40,000",,,,
5020,tt1931601,USA,"$1,000,000",,,,
5021,tt1934163,Brazil,"BRL800,000",,,,
5022,tt1934299,Japan,,,,,82 min
5023,tt1934324,Spain,,,,,
5024,tt1934408,Tajikistan,,,,,78 min
5025,tt1934479,UK,"GBP1,000",,,,
5026,tt1935146,USA,"$20,000",,,,
5027,tt1935949,USA,,,,,53 min
5028,tt1937484,Germany,,,,,82 min
5029,tt1937502,Syria,,,,,99 min
5030,tt1939641,Japan,,,,,75 min
5031,tt1941477,Italy,"EUR30,000",,,,
5032,tt1945037,USA,"$25,000",,,,68 min
5033,tt1946513,China,,,,,58 min
5034,tt1948139,Argentina,,,,"$1,838",
5035,tt1949599,USA,"$100,000",,,,
5036,tt1950170,USA,,,,,104 min
5037,tt1951181,USA,"$16,000,000","$44,064,","$2,025,328","$5,952,884",120 min
5038,tt1954275,Hungary,,,,,68 min
5039,tt1954320,USA,"$39,000",,,,
5040,tt1954326,Colombia,,,,,90 min
5041,tt1954335,Bulgaria,,,,,82 min
5042,tt1954492,Iran,,,,,30 min
5043,tt1954605,USA,,,,,
5044,tt1954684,USA,"$10,000",,,,
5045,tt1954854,USA,,,,,107 min
5046,tt1956655,USA,,,,,86 min
5047,tt1959380,USA,,,,,58 min
5048,tt2105044,USA,,"$36,402,","$100,345","$1,944,287",116 min
5049,tt2106383,USA,"$500,000",,,,83 min
5050,tt2106478,France,,,,,51 min
