,name_id,name
0,nm0405374,Hyung-rae Shim
1,nm3436850,Syamsul Yusof
2,nm0001774,Ben Stiller
3,nm0057842,Olivier Baroux
4,nm0000852,Jean-Marc Barr
5,nm0079013,Toni Bestard
6,nm0514852,Renata Litvinova
7,nm2900728,Uwe Anders
8,nm0149134,Sinan Çetin
9,nm1427149,Andrew Rossi
10,nm0011470,Andrew Adamson
11,nm0945282,Yôji Yamada
12,nm1033668,Ariel Winograd
13,nm1741731,Aytaç Agirlar
14,nm1429436,Andrzej Saramonowicz
15,nm0059509,Gabriel Barylli
16,nm3070614,Dmitry Povolotsky
17,nm2202443,József Sipos
18,nm1145183,Valentín Javier Diment
19,nm0916406,Mark Webber
20,nm2910706,Alberto Rodriguez
21,nm1486025,Alejandro Brugués
22,nm2134474,Vikas Bahl
23,nm2303069,Mikael Buch
24,nm0751577,Anthony Russo
25,nm0442887,Hirotsugu Kawasaki
26,nm4363509,Ryan M. Kennedy
27,nm1119880,Colin Trevorrow
28,nm1349821,José Pepe Bojórquez
29,nm0678786,J.T. Petty
30,nm1033032,Hideki Takeuchi
31,nm0404485,James Huth
32,nm4393347,Onur Kulakoglu
33,nm0572562,Greg McLean
34,nm1519353,Tom Six
35,nm1559043,Chris Martinez
36,nm1637806,Sôichi Masui
37,nm0723172,Carlos Alberto Riccelli
38,nm0553379,Renzo Martinelli
39,nm2260801,Saratswadee Wongsomphet
40,nm1109353,Grigoriy Gyardushyan
41,nm4436892,Ruhi Karadag
42,nm1145655,Shirish Kunder
43,nm0268999,Philippe Faucon
44,nm0660371,Martin Papazian
45,nm0912334,Alex van Warmerdam
46,nm0000431,Taylor Hackford
47,nm1068905,Namrata Singh Gujral
48,nm1115144,Anja Salomonowitz
49,nm1234345,Takashi Shimizu
50,nm0918326,Hans Weingartner
51,nm2421181,Danny Mooney
52,nm0900527,Ivan Vladimirov
53,nm1840944,Robert Thalheim
54,nm3289246,Gok Kim
55,nm3628980,Asad Shan
56,nm0151733,Jin Jang
57,nm3213872,Serkan Acar
58,nm1553775,Crispian Mills
59,nm1324710,Martin Zandvliet
60,nm1170855,J.C. Chandor
61,nm0626090,Jack Neo
62,nm0337773,David Gordon Green
63,nm3370930,Takashi Kubota
64,nm1240647,Nicolás López
65,nm0014694,Karim Aïnouz
66,nm3866538,Aron Lehmann
67,nm0439178,Michael Karen
68,nm1634378,Takayuki Hamana
69,nm1620212,Joel Allen Schroeder
70,nm1245382,Sandra Nashaat
71,nm0266255,Jun Falkenstein
72,nm1490123,James Wan
73,nm0774221,Gregor Schnitzler
74,nm0001438,Neil LaBute
75,nm0210487,Marcelo Fernandes De Moura
76,nm0679031,Brad Peyton
77,nm1438245,Anna van der Heide
78,nm0419494,Jose Javier Reyes
79,nm0015359,Fatih Akin
80,nm0531817,Kevin Macdonald
81,nm4917974,Ali Adnan Özgür
82,nm0661345,Neri Parenti
83,nm1868917,Alessandro Carloni
84,nm4792824,Stefan Immler
85,nm1032974,Santiago Svirsky
86,nm0593610,Mike Mitchell
87,nm1841063,Richard Somes
88,nm3311094,Keishi Ohtomo
89,nm0828970,John Stevenson
90,nm3522076,Aharon Keshales
91,nm4962293,Panjapong Kongkanoy
92,nm1957706,Claude Barras
93,nm1502159,Mike Marzuk
94,nm2612347,Jamal Shoorje
95,nm1069826,Gautham Menon
96,nm1589591,Tony Kern
97,nm0323758,Andy Goddard
98,nm0948596,Sang-Hyo Yook
99,nm1497931,Mark Penney
100,nm0000965,Danny Boyle
101,nm0586837,Riccardo Milani
102,nm0782355,Dena Seidel
103,nm0917405,Apichatpong Weerasethakul
104,nm1616394,Nabil Ben Yadir
105,nm1762961,Jeff Tomsic
106,nm5639913,Ho Hong
107,nm1349376,Francis Lawrence
108,nm5650556,R.S. Durai Senthilkumar
109,nm2050760,Ben Blaine
110,nm1331264,Sonia Sebastián
111,nm0069166,Marco Bellocchio
112,nm0833627,Charlie Stratton
113,nm2497546,David F. Sandberg
114,nm0523276,Declan Lowney
115,nm0715636,Peyton Reed
116,nm1009277,Dax Shepard
117,nm0294825,Ron Fricke
118,nm1201875,Géla Babluani
119,nm0243233,Mark Duplass
120,nm0000513,William H. Macy
121,nm1556116,Kevin Kölsch
122,nm6576432,Baimei Yu
123,nm3422245,Feng Zu
124,nm0050988,Thomas Balmès
125,nm8877778,Kazuya Kamihoriuchi
126,nm1191481,Leigh Whannell
127,nm0532509,Sérgio Machado
128,nm0655683,José Padilha
129,nm0973105,Tono Errando
130,nm1391924,Gustavo Taretto
131,nm0312881,Toby Genkel
132,nm0345615,Christian Gudegast
133,nm1264059,Xavier Ribera
134,nm0082450,Paul Feig
135,nm0694946,Manuel Pradal
136,nm3160408,E. Raymond Brown
137,nm0149446,Gurinder Chadha
138,nm0363857,Frank Harper
139,nm1637768,Jim Field Smith
140,nm2022197,Tom Sanchez
141,nm0000631,Ridley Scott
142,nm0660266,Rocco Papaleo
143,nm1028596,Eduardo Chapero-Jackson
144,nm0578757,Christopher Menaul
145,nm2482088,Tommy Wirkola
146,nm3686331,Aaron Schock
147,nm1064077,Mamoru Hoshi
148,nm0102887,David Bradbury
149,nm0694249,Nick Powell
150,nm0023859,Keita Amemiya
151,nm0233027,Martin Donovan
152,nm0275277,Shana Feste
153,nm0839268,Kjell Sundvall
154,nm2514999,Francisco Javier Padilla
155,nm0382956,Scott Hicks
156,nm0969427,Semih Kaplanoglu
157,nm1385560,Leandro Ipiña
158,nm0620363,Tetsuya Nakashima
159,nm2543774,Emilis Velyvis
160,nm2120491,Sérgio Graciano
161,nm0259930,Kagan Erturan
162,nm0957505,Craig Zobel
163,nm1455688,Julie Anne Robinson
164,nm0842955,Stefanie Sycholt
165,nm0736623,Andi Rogenhagen
166,nm2941797,Maria Lindberg
167,nm0292211,Paul Fraser
168,nm2565292,Tanwarin Sukkhapisit
169,nm2054189,Fredrik Boklund
170,nm0069818,Hernán Belón
171,nm0249998,Gale Edwards
172,nm0880928,Ümit Ünal
173,nm3832292,Masaaki Taniguchi
174,nm3847994,Anario Mamedov
175,nm0438228,Diego Kaplan
176,nm1896275,Ryûichi Honda
177,nm1318617,Sergio Constantino
178,nm1175724,Noboru Iguchi
179,nm0300168,Radu Gabrea
180,nm2706882,Luc Côté
181,nm0470323,Ron Krauss
182,nm0001348,Werner Herzog
183,nm1112548,Johannes Naber
184,nm0129842,David Calek
185,nm0671210,Mark Pellington
186,nm0348640,Andrew Gurland
187,nm0037708,Miguel Arteta
188,nm0031992,Stephan Apelgren
189,nm0875072,Filippos Tsitos
190,nm0554139,Ícaro Martins
191,nm4021775,Yuriy Bykov
192,nm0151167,Wing-Chiu Chan
193,nm0617407,Aleksi Mäkelä
194,nm0409791,Indra Kumar
195,nm0875672,Dinko Tucakovic
196,nm4092503,Pascal Serieis
197,nm2955107,Raj Kumar Gupta
198,nm1553755,Alexandra McGuinness
199,nm1258686,Joachim Trier
200,nm0323303,José Glusman
201,nm4114638,Victor D. Ponten
202,nm1641315,Ezna Sands
203,nm2165066,Carles Torrens
204,nm1741105,Steve Taylor
205,nm2800579,Matthew Bate
206,nm1212489,Sebastián Bednarik
207,nm2120994,Zübeyr Sasmaz
208,nm0521803,Aku Louhimies
209,nm0005366,Jay Roach
210,nm0200380,Brian Dannelly
211,nm0173684,Cristian Comeaga
212,nm3954268,Anna-Katharina Wohlgenannt
213,nm2182866,Julien Leclercq
