,name_id,name
184,nm6525967,Patrick Yeo
185,nm0003458,Steven R. Monroe
186,nm1537157,Ji-hoon Kim
187,nm0090386,James Bobin
188,nm1288712,Cécile Telerman
189,nm0690741,Maurizio Ponzi
190,nm0610831,Gabriele Muccino
191,nm2239528,Konstantin Feoktistov
192,nm3719598,Gi-hoon Jeong
193,nm1720535,Andreas Pichler
194,nm3138629,Anton Bormatov
195,nm0243659,Nihat Durak
196,nm6123353,Hug Cirici
197,nm0609981,Emmanuel Mouret
198,nm0771054,Lone Scherfig
199,nm3766965,Mauricio De la Orta
200,nm1429327,Pilar Pérez Solano
201,nm3133017,Mehmet Ada Öztekin
202,nm1652669,Pamela B. Green
203,nm1633071,Per-Olav Sørensen
204,nm0148999,Tony Cervone
205,nm4787750,Marc Carreté
206,nm5951114,Dan Sellers
207,nm1823272,Eduard Radzyukevich
208,nm0350044,Daniel Guzmán
209,nm0208854,Rolf de Heer
210,nm0959255,Christian Zübert
211,nm3779446,Korey Green
212,nm0845525,Walter Söderlund
213,nm4275933,Vladimir Lert
214,nm1729102,Simon Fitzmaurice
215,nm0175352,Robert Connolly
216,nm0031407,Tony Oliver
217,nm1145578,Hajime Kamegaki
218,nm0889402,Carlo Vanzina
219,nm0994429,Daniela Speranza
220,nm1147588,Faruk Aksoy
221,nm1888232,Alicja Jaworski
222,nm0065449,Jean Becker
223,nm0796361,Harald Sicheritz
224,nm0147662,Giorgia Cecere
225,nm2318264,A. Taner Elhan
226,nm0585738,Matthew Miele
227,nm0074163,Edward Berger
228,nm2593468,Esben Toft Jacobsen
229,nm5098915,Callum Burn
230,nm0637518,Phillip Noyce
231,nm0826541,Kriv Stenders
232,nm0252135,Breck Eisner
233,nm0588340,Frank Miller
234,nm1959505,Diablo Cody
235,nm0000399,David Fincher
236,nm1626391,Yoshinari Nishikôri
237,nm1714255,Elliott Lester
238,nm0955974,Stuart Zicherman
239,nm0000149,Jodie Foster
240,nm1954501,David Ruiz
241,nm0538107,Lech Majewski
242,nm0200005,Lee Daniels
243,nm0851930,Alan Taylor
244,nm0065615,Wolfgang Becker
245,nm1079776,George Nolfi
246,nm3221483,Navaniat Singh
247,nm1212034,Brian Tse
248,nm4928529,Dan Carracino
249,nm2543774,Emilis Velyvis
250,nm1484469,Olivia Mori
251,nm1494662,Ching-Po Wong
252,nm4939269,Lengaigne Frederique
253,nm1274163,Jade Castro
254,nm0298807,Antoine Fuqua
255,nm0766263,Shinsuke Sato
256,nm0159061,Michelle Chong
257,nm0523665,Sergey Loznitsa
258,nm1576181,Steph Green
259,nm0711745,Mani Ratnam
260,nm4997580,Gabriel Drak
261,nm0003160,Christopher McQuarrie
262,nm1365879,Morgan Neville
263,nm1598133,Sarah Clara Weber
264,nm2279646,Yûichi Fukuda
265,nm0091313,Pieter Walther Boer
266,nm0500610,David Leitch
267,nm0758375,Martín Salinas
268,nm2041022,Andreas Dalsgaard
269,nm5303621,Ismail Jillani
270,nm2253160,Vishesh Bhatt
271,nm0003975,Jeff Stephenson
272,nm2767560,Jianjun Sun
273,nm3468931,Dave Ohlson
274,nm0798595,Breno Silveira
275,nm1589546,Kazuaki Kiriya
276,nm1372499,Yoshitomo Yonetani
277,nm0224331,Andrea Di Stefano
278,nm3808149,Beatriz Sanchís
279,nm0945282,Yôji Yamada
280,nm0153265,Alexandre Charlot
281,nm4192630,Haofeng Xu
282,nm1166977,Guillermo Pfening
283,nm0096066,Jacek Borcuch
284,nm1618155,Rafa Lara
285,nm0833027,Jirí Strach
286,nm1081550,Te Arepa Kahi
287,nm0639021,Arne Lindtner Næss
288,nm1834241,Sergey Tkachev
289,nm2604863,Sung-hyun Byun
290,nm0851724,Bertrand Tavernier
291,nm0477597,Dagur Kári
292,nm1442514,S.S. Rajamouli
293,nm1402557,Boris Khlebnikov
294,nm0265852,Philippe Falardeau
295,nm1245805,Bob Shirohata
296,nm1160590,Luis Urquiza
297,nm0326558,Markus Goller
298,nm1259337,Carlos Agulló
299,nm0960709,Hoi-Ching Cheung
300,nm1309251,Fouad Alaywan
301,nm0149196,Nuri Bilge Ceylan
302,nm2521923,Marc Boréal
303,nm1140290,Jordan Rubin
304,nm0686099,Shira Piven
305,nm4273375,Carlos Martín
306,nm2010934,Anna Martinetz
307,nm1715453,Nassim Amaouche
308,nm4622421,Evgeniy Abyzov
309,nm3162655,Adolf Zika
310,nm3329948,George Hencken
311,nm2025553,Nicolas Rossier
312,nm1346665,Borys Lankosz
313,nm0076081,Joyce Bernal
314,nm1437189,Sriram Raghavan
315,nm1785608,George Amponsah
316,nm6457171,Bernie Olaf
317,nm0205199,Mitch Davis
318,nm1760853,Fabio Resinaro
319,nm0553237,Pierre-François Martin-Laval
320,nm0000095,Woody Allen
321,nm0936464,Frederick Wiseman
322,nm1179457,Milap Zaveri
323,nm1482101,Leanne Pooley
324,nm5526683,Ricardas Marcinkus
325,nm6305117,Maksim Volkov
326,nm0637615,Gaspar Noé
327,nm1637163,Sophon Sakdaphisit
328,nm0305368,Nicole Garcia
329,nm0871708,Sérgio Tréfaut
330,nm1216004,Andrew Bujalski
331,nm0173133,Sally Colon-Petree
332,nm6617615,Cheol-ho Ahn
333,nm1519252,Bryan Buckley
334,nm0802168,Manmohan Singh
335,nm0951197,Kunihiko Yuyama
336,nm1161933,Paul Cowan
337,nm0016176,Juana Macías
338,nm0942727,Randall Wright
339,nm2520373,Árpád Bogdán
340,nm2951802,Tomonori Sudô
341,nm6816444,Lisa Nicol
342,nm4681490,Karin Steinberger
343,nm2559080,Elizabeth Wood
344,nm0758033,Vincenzo Salemme
345,nm0217433,Gaby Dellal
346,nm1922735,Aleksey Fedorchenko
347,nm6225858,Larry Yang
348,nm0475905,Kiyoshi Kurosawa
349,nm0187651,Stany Crets
350,nm0476206,Daniel Kusan
351,nm1676649,Nate Parker
352,nm0174659,Stijn Coninx
353,nm0685289,Martín Piroyansky
354,nm1593767,Regina Schilling
355,nm2588606,Steve McQueen
356,nm1234893,Sylvain White
357,nm0885249,Jean-Marc Vallée
358,nm5402490,Sebastien Grousset
359,nm2013827,Ekaterina Grokhovskaya
360,nm0000602,Robert Redford
361,nm0637493,Cyrus Nowrasteh
