primary_title,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,start_year,runtime_minutes,genres,averagerating,numvotes,director,Profit,Adventure,Drama,Musical,Romance,War,Action,Animation,Fantasy,Thriller,Music,Mystery,Comedy,Biography,History,Sport,Crime,Documentary,Sci-Fi,Horror,Family,Western
SubHysteria,USA,130000,0,0,213015,2010,85.0,"['Drama', 'Thriller']",6.9,81.0,Leonard Zelig,83015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Pack,France,3357900,0,0,274839,2010,84.0,['Horror'],4.8,1987.0,Franck Richard,-3083061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Close Enemy,Russia,4500000,0,0,1035474,2010,98.0,['Crime'],5.5,148.0,Aleksandr Atanesyan,-3464526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
The Great Gatsby,Australia,105000000,50085185,144840419,353641895,2013,143.0,"['Drama', 'Romance']",7.3,433165.0,Baz Luhrmann,248641895,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dredd,UK,50000000,6278491,13414714,41037742,2012,95.0,"['Action', 'Crime', 'Sci-Fi']",7.1,234616.0,Pete Travis,-8962258,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Kid,UK,0,0,0,20354,2010,111.0,['Drama'],6.9,1206.0,Nick Moran,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turk's Head,France,6435000,0,0,1751180,2010,87.0,"['Crime', 'Drama', 'Thriller']",6.0,401.0,Pascal Elbé,-4683820,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Unknown,UK,30000000,21856389,63686397,135710029,2011,113.0,"['Action', 'Mystery', 'Thriller']",6.9,235167.0,Jaume Collet-Serra,105710029,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Little Bedroom,Switzerland,234000,2981,7440,50421,2010,87.0,['Drama'],6.9,184.0,,-183579,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Happy Feet Two,Australia,135000000,21237068,64006466,159197038,2011,100.0,"['Adventure', 'Animation', 'Comedy']",5.9,38396.0,,24197038,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenge of the Electric Car,USA,0,17482,150886,151272,2011,90.0,['Documentary'],7.2,1692.0,Chris Paine,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Pigeons on the Roof,Germany,0,0,0,1323109,2011,96.0,['Comedy'],6.0,266.0,Otto Alexander Jahrreiss,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Unlikely Revolutionaries,Italy,0,0,0,2104909,2010,102.0,"['Comedy', 'Crime']",6.1,382.0,Lucio Pellegrini,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Abacus and Sword,Japan,0,0,0,16575961,2010,129.0,['Drama'],6.4,150.0,Yoshimitsu Morita,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nostalgia for the Light,France,0,5664,163962,410903,2010,90.0,['Documentary'],7.6,4242.0,Patricio Guzmán,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Neds,UK,3240000,0,0,2019939,2010,124.0,['Drama'],7.0,7636.0,Peter Mullan,-1220061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jinn,USA,0,149337,202348,552698,2014,97.0,"['Fantasy', 'Horror', 'Thriller']",4.2,4271.0,Ajmal Zaheer Ahmad,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Hold Me Tight,Denmark,0,0,0,605613,2010,80.0,['Drama'],6.4,479.0,Kaspar Munk,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
