,title_id,Country,Budget,Opening Weekend USA,Gross USA,Cumulative Worldwide Gross,Runtime
272,tt2994002,UK,"$1,000",,,,
273,tt2998596,USA,,,,,75 min
274,tt2998682,USA,"$5,000",,,,77 min
275,tt3004640,Canada,,,,,100 min
276,tt3006022,Czech Republic,,,,,
277,tt3006508,India,,,,,144 min
278,tt3009228,USA,,,,,120 min
279,tt3010670,Austria,,,,,63 min
280,tt3012818,Slovakia,,,,,78 min
281,tt3014950,USA,"$500,000",,,,94 min
282,tt3017102,USA,,,,,14 min
283,tt3017720,Sri Lanka,,,,,
284,tt3017864,Japan,,,,,57 min
285,tt3020362,,,,,,
286,tt3020572,USA,,,,,60 min
287,tt3020814,USA,,,,,65 min
288,tt3024056,Japan,,,,"$2,097,204",106 min
289,tt3024630,Canada,,,,,178 min
290,tt3024664,USA,"$200,000",,,,112 min
291,tt4135952,USA,,,,,81 min
292,tt4136642,UK,"GBP10,000",,,,57 min
293,tt4137012,Poland,,,,,58 min
294,tt4137022,Slovakia,,,,,78 min
295,tt4139124,USA,"$15,000,000","$9,453,224,","$20,591,853","$20,651,333",100 min
296,tt4142022,Italy,,,,"$4,518,908",90 min
297,tt4144504,Canada,,,,"$31,191",110 min
298,tt4145790,USA,"$40,000",,,,71 min
299,tt4151934,Slovakia,,,,,57 min
300,tt4153878,Canada,"CAD55,184",,,,45 min
301,tt4154132,Norway,,,,,75 min
302,tt4155420,USA,,,,,
303,tt4157486,Russia,,,,,89 min
304,tt4158096,UK,"GBP5,500,000","$994,431,","$1,799,312","$3,719,383",91 min
305,tt4158540,South Africa,,,,,50 min
306,tt4158594,Australia,"AUD3,400,000",,,,96 min
307,tt4160122,Denmark,"DKK14,500,000",,,"$99,994",90 min
308,tt4161080,USA,,,,,
309,tt4163914,Spain,,,,,50 min
310,tt4165882,USA,"$1,200,000",,,,
311,tt4168024,Japan,,,,,94 min
312,tt4168180,France,,,,,52 min
313,tt4169682,USA,,,,,80 min
314,tt4170294,USA,,,,,105 min
315,tt4172320,USA,,,,,56 min
316,tt4174946,Canada,"CAD8,000",,,,48 min
317,tt4175960,Bangladesh,,,,,123 min
318,tt4177614,Canada,"CAD150,000",,,,85 min
319,tt4177670,Portugal,,,,$522,90 min
320,tt4178860,Japan,,,,,137 min
321,tt4179876,Germany,,,,,86 min
322,tt4182290,Netherlands,"EUR1,000",,,,88 min
323,tt4187590,Russia,"$10,000,000",,,"$8,292,235",120 min
324,tt4188034,USA,,,,,
325,tt4188772,Kazakhstan,,,,,
326,tt4189134,Argentina,,,,,67 min
327,tt4193400,Germany,,"$33,781,","$288,483","$3,083,973",105 min
328,tt4193682,Italy,,,,,88 min
329,tt4195120,Poland,"$85,000",,,,47 min
330,tt4195236,UK,,,,,74 min
331,tt4195854,Brazil,,,,,85 min
332,tt4198186,Italy,"EUR150,000",,,,82 min
333,tt4203200,South Korea,,,,"$1,750,719",100 min
334,tt4205654,Brazil,,,,,60 min
335,tt4212882,USA,,,,,84 min
336,tt4213860,,,,,,
337,tt4218240,Chile,"$200,000",,,,93 min
338,tt4219186,Argentina,,,,,65 min
339,tt4219266,USA,,,,,225 min
340,tt4219836,USA,"$150,000","$2,177,","$5,858","$5,858",80 min
341,tt4223272,USA,"$18,400",,,,
342,tt4228490,Italy,"$100,000",,,,
343,tt4230570,South Korea,,,,,106 min
344,tt4230666,USA,,,,,84 min
345,tt4232618,UK,"GBP7,500",,,,
346,tt4235302,Australia,,,,,57 min
347,tt4237176,USA,,,,,47 min
348,tt4238858,USA,,"$10,602,","$166,425","$169,236",72 min
349,tt4242682,Iran,"$100,000",,,,80 min
350,tt4244356,Israel,,,,,60 min
351,tt4244482,Russia,,,,,86 min
352,tt4245204,USA,,,,,75 min
353,tt4247724,UK,,,,,56 min
354,tt4250494,Serbia,,,,,120 min
355,tt4253494,USA,,,,,56 min
356,tt4257712,France,,,,,51 min
357,tt4257858,USA,,,,"$230,194",119 min
358,tt4263868,Japan,,,,,
359,tt4265444,USA,"$40,000",,,,76 min
360,tt4265602,Canada,"CAD330,000",,,,
361,tt4270020,USA,"$25,000",,,,
362,tt4270452,USA,,,,,98 min
363,tt4273242,Sweden,,,,,82 min
364,tt4279124,Austria,,,,,
365,tt4281636,USA,,,,,11 min
366,tt4282764,UK,,,,,75 min
367,tt4287710,USA,"$5,000",,,,115 min
368,tt4287778,India,"INR50,000,000",,,,108 min
369,tt4288286,USA,"$10,000",,,,106 min
370,tt4288788,Philippines,,,,,88 min
371,tt4292374,Japan,,,,,83 min
372,tt4293668,India,"INR2,000,000",,,,
373,tt4295322,Italy,,,,,75 min
374,tt4295624,USA,,,,,95 min
375,tt4299842,USA,,,,,
376,tt4302128,USA,"$11,700",,,,110 min
377,tt4308750,Japan,,,,,60 min
378,tt4309126,USA,,,,,
379,tt4312522,USA,"$200,000",,,,119 min
380,tt4312816,Russia,,,,,56 min
381,tt4312900,Russia,,,,,122 min
382,tt4313174,India,,,,"$6,119",106 min
383,tt4314046,USA,,,,,92 min
384,tt4314838,Egypt,"$50,000",,,,55 min
385,tt4316170,India,,,,,
386,tt4318088,India,,,,,
387,tt4319326,Canada,"CAD100,000",,,,50 min
388,tt4320548,USA,"$1,000,000",,,,92 min
389,tt4322012,India,,,,,118 min
390,tt4324876,USA,"$2,000",,,,83 min
391,tt4329272,USA,,,,,23 min
392,tt4329818,USA,"$6,000",,,,76 min
393,tt4329904,Spain,,,,,10 min
394,tt4333138,USA,,,,,87 min
395,tt4335450,,,,,,
396,tt4338242,India,,,,,
397,tt4340180,India,,,,,130 min
398,tt4340714,Japan,,,,,60 min
399,tt4340750,Greece,,,,,62 min
400,tt4346182,UK,,,,,79 min
401,tt4351540,UK,,,,,
402,tt4355590,USA,,,,,83 min
403,tt4357394,USA,,,,,97 min
404,tt4359240,Israel,,,,,83 min
405,tt4359284,Italy,,,,,52 min
406,tt4360774,USA,,,,,92 min
407,tt4361138,Australia,"AUD300,000",,,,87 min
408,tt4363560,India,,,,,52 min
409,tt4363990,Canada,,,,,89 min
410,tt4364196,USA,,,,,53 min
411,tt4364398,Cambodia,,,,,
412,tt4371680,Peru,"$600,000","$5,510,","$5,510","$5,510",91 min
413,tt4372118,Netherlands,"EUR275,000",,,,90 min
414,tt4372450,USA,,,,,
415,tt4373944,India,"INR1,000,000",,,,
