,name_id,name
0,nm0005522,Mario Van Peebles
1,nm3113346,Andrea Segre
2,nm2403079,Dominic Burns
3,nm0003884,Paulo Machline
4,nm3663323,Ayten Amin
5,nm2543797,Tsui-shan Jessey Tsang
6,nm0614479,Maeve Murphy
7,nm0429734,Hella Joof
8,nm2161247,Paco Cabezas
9,nm0664607,Goran Paskaljevic
10,nm2073296,Aleksandr Gordon
11,nm0265747,Dzhanik Fayziev
12,nm1754484,Murat Saraçoglu
13,nm0773272,Jan Schmidt-Garre
14,nm0826348,Jos Stelling
15,nm4758113,Serkant Yasar Kutlubay
16,nm1935753,Jerry Rothwell
17,nm1641306,Taneli Mustonen
18,nm0283377,Per Fly
19,nm2349060,Bejoy Nambiar
20,nm0268380,Peter Farrelly
21,nm2803372,Frank Gladstone
22,nm3104562,Michael Zimbalist
23,nm0771228,Paul T. Scheuring
24,nm0569891,Tom McGrath
25,nm9761320,Michal Kondrat
26,nm8921482,Kantemir Balagov
27,nm8694244,Won-Tae Lee
28,nm0004363,Rakesh Roshan
29,nm0416945,Steve James
30,nm0920274,John Wells
31,nm0597673,Karen Moncrieff
32,nm3896104,Marcus Graves
33,nm0392319,Marius Holst
34,nm2086105,James Duffy
35,nm0934864,Jason Winer
36,nm1322477,Abhishek Chaubey
37,nm0002167,Gianni Amelio
38,nm0840905,Jan Svankmajer
39,nm0178376,Scott Cooper
40,nm0033177,Genjiro Arato
41,nm0677892,Kristian Petri
42,nm0043742,David Ayer
43,nm1644039,Bill Muir
44,nm0679031,Brad Peyton
45,nm0774420,Frédéric Schoendoerffer
46,nm2421661,Andre Alves Pinto
47,nm2300852,Varon Bonicos
48,nm0740110,Mika Ronkainen
49,nm0113819,Jeffrey D. Brown
50,nm1246883,Mac Alejandre
51,nm1029158,Marc Dugain
52,nm0002140,Agnieszka Holland
53,nm0801327,Jeremy Sims
54,nm0313623,Terry George
55,nm0919363,Chris Weitz
56,nm0284639,Jorge Fons
57,nm0442828,Shôji Kawamori
58,nm2970484,Jason Stoddard
59,nm2462953,Mipo Oh
60,nm2001539,Audrey Estrougo
61,nm0000517,Terrence Malick
62,nm1174251,Daniel Espinosa
63,nm3801969,Ogulcan Kirca
64,nm1760911,Hüdaverdi Yavuz
65,nm0000365,Julie Delpy
66,nm1001051,Ho-Cheung Pang
67,nm0749960,Víctor Jorge Ruiz
68,nm0257775,Anders Engström
69,nm1274464,Ville Jankeri
70,nm0080456,Kenneth Bi
71,nm0000231,Oliver Stone
72,nm2667577,Vladimir Vinogradov
73,nm1148550,Ava DuVernay
74,nm0696236,Richard Press
75,nm1292891,Jinglei Xu
76,nm1862979,Craig McCall
77,nm0190389,Mae Czarina Cruz
78,nm0610219,Oren Moverman
79,nm0044651,Peter de Baan
80,nm0422605,Zhangke Jia
81,nm0161870,Glenn Ciano
82,nm0193508,Simon Curtis
83,nm0002218,Claude Miller
84,nm0945026,Boaz Yakin
85,nm1052791,Pascal Laugier
86,nm0437480,Osamu Kaneda
87,nm0000965,Danny Boyle
88,nm0158427,Derek Chiu
89,nm0347473,Eric Guirado
90,nm0841229,Helgi Sverrisson
91,nm0534135,Duncan MacNeillie
92,nm0023753,Cecília Amado
93,nm1036527,Francesca Gregorini
94,nm1104944,Heitor Dhalia
95,nm0302007,Carlos Galettini
96,nm0031492,Angelo Antonucci
97,nm0452102,Abbas Kiarostami
