,name_id,name
0,nm1119880,Colin Trevorrow
1,nm0004056,Andrew Stanton
2,nm0000318,Tim Burton
3,nm10633710,Nan Wu
4,nm1155471,Kyu-sung Jang
5,nm0603628,Pierre Morel
6,nm0006904,Tony Gilroy
7,nm1139726,Neil Burger
8,nm0774582,Keith Scholey
9,nm0379872,Antonio Hernández
10,nm0400441,Allen Hughes
11,nm1266768,David Pinillos
12,nm0575523,Julio Medem
13,nm3575075,Inna Evlannikova
14,nm0231999,Tom Donahue
15,nm1455688,Julie Anne Robinson
16,nm1875808,Jason Trost
17,nm0788171,S. Shankar
18,nm0001353,Walter Hill
19,nm1063072,Abbas Tyrewala
20,nm1124442,Leonard Zelig
21,nm1035941,Franck Richard
22,nm0040286,Aleksandr Atanesyan
23,nm0525303,Baz Luhrmann
24,nm0871428,Pete Travis
25,nm0602941,Nick Moran
26,nm0253018,Pascal Elbé
27,nm1429471,Jaume Collet-Serra
28,nm1425885,Véronique Reymond
29,nm0004306,George Miller
30,nm2071216,Chris Paine
31,nm0415769,Otto Alexander Jahrreiss
32,nm0670990,Lucio Pellegrini
33,nm0605741,Yoshimitsu Morita
34,nm0350099,Patricio Guzmán
35,nm0611932,Peter Mullan
36,nm1856661,Ajmal Zaheer Ahmad
37,nm1390830,Kaspar Munk
38,nm1514821,Fuminori Kaneko
39,nm0126152,Darragh Byrne
40,nm0525141,John Luessenhop
41,nm2128776,Tatsuya Ishihara
42,nm0596403,Andrea Molaioli
43,nm1239959,Yuji Yamaguchi
44,nm0951456,Zabou Breitman
45,nm0786033,Parmeet Sethi
46,nm0716347,Nicolas Winding Refn
47,nm0638271,Joe Nussbaum
48,nm0437625,Je-kyu Kang
49,nm0079578,Antoinette Beumer
50,nm1283069,Cathy Garcia-Molina
51,nm0532702,Juliusz Machulski
52,nm0257775,Anders Engström
53,nm0790715,Penelope Spheeris
54,nm0438488,Pankaj Kapur
55,nm1195064,Ana Katz
56,nm0332647,Romain Goupil
57,nm0945506,Yasuichirô Yamamoto
58,nm0787687,Matt Shakman
59,nm4216721,Jatinder Mauhar
60,nm0319624,Thomas Gilou
61,nm0002077,Dexter Fletcher
62,nm0391557,Richard Holm
63,nm2066439,Gorô Miyazaki
64,nm1130052,Pablo Illanes
65,nm0946995,Patrick Kong
66,nm2285549,Gregg Godfrey
67,nm1039584,Mariana Caltabiano
68,nm0326040,Akiva Goldsman
69,nm3061001,Sergio Teubal
70,nm2510168,Andrea Morgenthaler
71,nm1905310,Jeff Zimbalist
72,nm1230148,David Blanco
73,nm0000916,Peter Berg
74,nm1724912,Carlos Therón
75,nm4389466,Óscar Rojo
76,nm0465372,Grigoriy Konstantinopolskiy
77,nm4392056,Xu Kerr
78,nm0084347,Joaquín Bissner
79,nm1395112,Viroj Thongsiew
80,nm0341722,Megan Griffiths
81,nm4411141,Tien-Lun Yeh
82,nm2213511,Tôya Satô
83,nm2207776,Nopporn Watin
84,nm1244760,Amole Gupte
85,nm1480594,Bakur Bakuradze
86,nm1840911,Mitja Okorn
87,nm0792202,Kirsten Sheridan
88,nm0233123,Valérie Donzelli
89,nm4473572,Laura Archibald
90,nm3269905,Jing Shang
91,nm1146341,Lukas Sturm
92,nm0684953,Giovanni Piperno
93,nm1968306,Jason Cortlund
94,nm0651723,Paul Osborne
95,nm1346562,Gina Kim
96,nm2461935,Jeff Simpson
97,nm0897092,Lorenzo Vignolo
98,nm0003289,John Putch
99,nm1419055,Hari
100,nm2880743,Ozan Aksungur
101,nm0832134,Robert Stone
102,nm0831321,Chris Stokes
103,nm4570456,Aljoscha Pause
104,nm0572562,Greg McLean
105,nm0324521,Kevin Goetz
106,nm0002478,Ernst Gossner
107,nm4623232,Patrick Takaya Solomon
108,nm2099475,Michele Rho
109,nm0101047,David Bowers
110,nm4623719,Hong Liu
111,nm0690794,Léa Pool
112,nm0001129,Jonathan Demme
113,nm0274278,António Ferreira
114,nm1729121,Eiichirô Hasumi
115,nm0855300,Jonathan Teplitzky
116,nm0155598,Jingle Ma
117,nm0487990,Yam Laranas
118,nm0002077,Dexter Fletcher
119,nm4689656,Tomiko Irie
120,nm0018924,Ra'anan Alexandrowicz
121,nm0403297,Jin-ho Hur
122,nm2512193,Stefan Schaller
123,nm0542029,Marco Manetti
124,nm1937249,Paul Magnus Lundø
125,nm0661799,Cheol-su Park
126,nm1049433,Lenny Abrahamson
127,nm0836715,Philipp Stölzl
128,nm3383159,Carles Caparrós
129,nm0702797,Steven Quale
130,nm0733886,Eric Rochant
131,nm1458108,Pyotr Buslov
132,nm2574176,Tyler Shields
133,nm1519079,Guy Davidi
134,nm1944710,Eric Chaney
135,nm0629658,Max Nichols
136,nm1922660,Jeta Amata
137,nm0920852,Hella Wenders
138,nm2133235,Jong-kwan Kim
139,nm2209781,Ayan Mukherjee
140,nm0181525,Eduard Cortés
141,nm0793840,Akiyuki Shinbo
142,nm0002892,Wally Pfister
143,nm4921161,Manuel von Stürler
144,nm0196115,Antonio Carlos da Fontoura
145,nm0513769,Jane Lipsitz
146,nm2402238,Nati Phunmanee
147,nm2043473,Arild Andresen
148,nm0259915,Gerhard Ertl
149,nm2282177,Justin Simien
150,nm0000332,Don Cheadle
151,nm0501185,Michael Lembeck
152,nm0286975,Marc Forster
153,nm2284484,Gareth Edwards
154,nm9181025,Masayuki Kojima
155,nm1083489,Kevin Munroe
156,nm1505934,Tarek Alarian
157,nm1654324,Mark McQueen
158,nm1595253,Tom Anton
159,nm0698757,Svetlana Proskurina
160,nm5665415,Roman Brovko
161,nm1164755,Xavier Gens
162,nm0900005,Ivan-Goran Vitez
163,nm0178997,Frank Coraci
164,nm2727781,Brad Haynes
165,nm2676052,Joseph Kosinski
166,nm0843281,Abe Sylvia
167,nm0914368,Michael W. Watkins
168,nm0425756,Mark Steven Johnson
169,nm0015359,Fatih Akin
170,nm1339400,Philippa Lowthorpe
171,nm5282204,Michael Carney
172,nm0290131,Dean Francis
173,nm0646656,Carlos Augusto de Oliveira
174,nm0109838,Johan Brisinger
175,nm0099398,Nicolas Boukhrief
176,nm0753912,Oskar Roehler
177,nm0009190,J.J. Abrams
178,nm0037136,Guel Arraes
179,nm0258531,Rob Epstein
180,nm0757858,Carlos Saldanha
181,nm0049294,Vincent Bal
182,nm0184362,Gustavo Cova
183,nm0001806,John Turturro
184,nm0006734,Alain Corneau
185,nm3529539,Yony Leyser
186,nm1002258,Wagner de Assis
187,nm1110037,Pia Marais
188,nm0157185,Bruno Chiche
189,nm2433914,Kyle Lawrence
190,nm1701267,Saran
191,nm0910139,Susan Walter
192,nm1126979,Rajshree Ojha
193,nm0502671,Joshua Leonard
194,nm0042894,Giambattista Avellino
195,nm1768263,Alix Delaporte
196,nm2644574,John V. Soto
197,nm0091076,Sergei Bodrov
198,nm1918269,Paul Wilkins
199,nm0001469,Barry Levinson
200,nm0324901,Nicolás Goldbart
201,nm2478131,Yael Hersonski
